"Library","Estimator","Bias","Variance","MSE","Coverage"
"GLMs","G-comp.",-0.0935,2e-04,0.009,"-"
"GLMs","IPTW",-4e-04,8e-04,8e-04,"95.8%"
"GLMs","IPTW-DR",2e-04,4e-04,4e-04,"95.8%"
"GLMs","TMLE",4e-04,4e-04,4e-04,"95.8%"
"GLMs","CV-TMLE",7e-04,5e-04,5e-04,"95.3%"
"ML + GLMs not aggressive","G-comp.",-0.1313,6e-04,0.0179,"-"
"ML + GLMs not aggressive","IPTW",-9e-04,7e-04,7e-04,"96.3%"
"ML + GLMs not aggressive","IPTW-DR",-9e-04,5e-04,5e-04,"95%"
"ML + GLMs not aggressive","TMLE",-8e-04,5e-04,5e-04,"94.8%"
"ML + GLMs not aggressive","CV-TMLE",-4e-04,5e-04,5e-04,"94.9%"
"ML + GLMs aggressive","G-comp.",-0.1165,6e-04,0.0142,"-"
"ML + GLMs aggressive","IPTW",7e-04,8e-04,8e-04,"95.2%"
"ML + GLMs aggressive","IPTW-DR",-0.0074,5e-04,6e-04,"90.5%"
"ML + GLMs aggressive","TMLE",-0.0067,5e-04,6e-04,"91%"
"ML + GLMs aggressive","CV-TMLE",7e-04,5e-04,5e-04,"94.7%"
