"Library","Estimator","Bias","Variance","MSE","Coverage"
"GLMs","G-comp.",-0.0917,2e-04,0.0086,"-"
"GLMs","IPTW",0.0032,7e-04,7e-04,"95.4%"
"GLMs","IPTW-DR",0.0029,4e-04,4e-04,"97.1%"
"GLMs","TMLE",0.003,4e-04,4e-04,"96.8%"
"GLMs","CV-TMLE",0.0031,4e-04,4e-04,"96.2%"
"ML + GLMs not aggressive","G-comp.",-0.0954,0.0012,0.0103,"-"
"ML + GLMs not aggressive","IPTW",0.0037,8e-04,8e-04,"94.8%"
"ML + GLMs not aggressive","IPTW-DR",0.0035,5e-04,5e-04,"95.2%"
"ML + GLMs not aggressive","TMLE",0.0034,5e-04,5e-04,"95.9%"
"ML + GLMs not aggressive","CV-TMLE",0.0037,5e-04,5e-04,"95.2%"
"ML + GLMs aggressive","G-comp.",-0.0875,8e-04,0.0085,"-"
"ML + GLMs aggressive","IPTW",0.0031,8e-04,8e-04,"94.3%"
"ML + GLMs aggressive","IPTW-DR",-0.0041,5e-04,5e-04,"92.7%"
"ML + GLMs aggressive","TMLE",-0.0033,5e-04,5e-04,"92.9%"
"ML + GLMs aggressive","CV-TMLE",0.0034,5e-04,5e-04,"94.2%"
