"Library","Estimator","Bias","Variance","MSE","Coverage"
"GLMs","G-comp.",-0.0765,3e-04,0.0062,"-"
"GLMs","IPTW",-0.0569,8e-04,0.0041,"45.7%"
"GLMs","IPTW-DR",-0.0565,7e-04,0.0038,"29.8%"
"GLMs","TMLE",-0.0563,7e-04,0.0038,"29.4%"
"GLMs","CV-TMLE",-0.0752,9e-04,0.0066,"14%"
"ML + GLMs not aggressive","G-comp.",-0.1325,7e-04,0.0182,"-"
"ML + GLMs not aggressive","IPTW",0.03,0.001,0.0019,"79.5%"
"ML + GLMs not aggressive","IPTW-DR",0.0295,8e-04,0.0016,"69.9%"
"ML + GLMs not aggressive","TMLE",0.0268,7e-04,0.0014,"72.2%"
"ML + GLMs not aggressive","CV-TMLE",-0.031,7e-04,0.0017,"70.3%"
"ML + GLMs aggressive","G-comp.",-0.1152,7e-04,0.014,"-"
"ML + GLMs aggressive","IPTW",0.1131,0.0114,0.0242,"38.3%"
"ML + GLMs aggressive","IPTW-DR",0.0925,0.0096,0.0181,"38.9%"
"ML + GLMs aggressive","TMLE",0.0963,0.0118,0.0211,"38.5%"
"ML + GLMs aggressive","CV-TMLE",-0.0281,7e-04,0.0015,"71.9%"
