"Library","Estimator","Bias","Variance","MSE","Coverage"
"GLMs","G-comp.",-0.0029,4e-04,4e-04,"-"
"GLMs","IPTW",0.0164,9e-04,0.0011,"96.1%"
"GLMs","IPTW-DR",0.016,7e-04,0.001,"91.2%"
"GLMs","TMLE",0.016,7e-04,0.001,"91%"
"GLMs","CV-TMLE",9e-04,0.001,0.001,"92.7%"
"ML + GLMs not aggressive","G-comp.",-0.0745,0.0013,0.0069,"-"
"ML + GLMs not aggressive","IPTW",0.0435,9e-04,0.0028,"69.3%"
"ML + GLMs not aggressive","IPTW-DR",0.0472,7e-04,0.0029,"45.3%"
"ML + GLMs not aggressive","TMLE",0.0467,6e-04,0.0028,"43.8%"
"ML + GLMs not aggressive","CV-TMLE",-2e-04,7e-04,7e-04,"94.5%"
"ML + GLMs aggressive","G-comp.",-0.0602,0.001,0.0046,"-"
"ML + GLMs aggressive","IPTW",0.1246,0.0095,0.0251,"29.6%"
"ML + GLMs aggressive","IPTW-DR",0.1106,0.008,0.0202,"25.6%"
"ML + GLMs aggressive","TMLE",0.1184,0.0106,0.0246,"24.7%"
"ML + GLMs aggressive","CV-TMLE",8e-04,6e-04,6e-04,"94.1%"
