"","Comparison","Library","Estimator","Bias","Variance","MSE","Coverage"
"unadj","EnYdn for E0Yd0","GLMs","Unadj.",-0.0562,7e-04,0.0038,"31.8%"
"gcomp","EnYdn for E0Yd0","GLMs","G-comp.",-0.0773,4e-04,0.0064,"-"
"IPTW","EnYdn for E0Yd0","GLMs","IPTW",-0.0558,8e-04,0.0039,"45%"
"IPTW_DR","EnYdn for E0Yd0","GLMs","IPTW-DR",-0.0565,6e-04,0.0038,"30.1%"
"TMLE","EnYdn for E0Yd0","GLMs","TMLE",-0.0565,6e-04,0.0038,"29.8%"
"CV.TMLE","EnYdn for E0Yd0","GLMs","CV-TMLE",-0.0764,9e-04,0.0067,"14.7%"
"unadj1","EnYdn for E0Yd0","ML + GLMs not aggressive","Unadj.",0.0245,7e-04,0.0013,"75.1%"
"gcomp1","EnYdn for E0Yd0","ML + GLMs not aggressive","G-comp.",-0.1306,7e-04,0.0178,"-"
"IPTW1","EnYdn for E0Yd0","ML + GLMs not aggressive","IPTW",0.0334,0.001,0.0021,"76.1%"
"IPTW_DR1","EnYdn for E0Yd0","ML + GLMs not aggressive","IPTW-DR",0.0327,8e-04,0.0019,"66.5%"
"TMLE1","EnYdn for E0Yd0","ML + GLMs not aggressive","TMLE",0.0298,8e-04,0.0016,"71.3%"
"CV.TMLE1","EnYdn for E0Yd0","ML + GLMs not aggressive","CV-TMLE",-0.0308,7e-04,0.0017,"69%"
"unadj2","EnYdn for E0Yd0","ML + GLMs aggressive","Unadj.",0.1138,0.0113,0.0243,"29.9%"
"gcomp2","EnYdn for E0Yd0","ML + GLMs aggressive","G-comp.",-0.1161,7e-04,0.0142,"-"
"IPTW2","EnYdn for E0Yd0","ML + GLMs aggressive","IPTW",0.1236,0.0109,0.0262,"31%"
"IPTW_DR2","EnYdn for E0Yd0","ML + GLMs aggressive","IPTW-DR",0.101,0.0092,0.0194,"33%"
"TMLE2","EnYdn for E0Yd0","ML + GLMs aggressive","TMLE",0.1031,0.0108,0.0214,"33.6%"
"CV.TMLE2","EnYdn for E0Yd0","ML + GLMs aggressive","CV-TMLE",-0.0316,7e-04,0.0017,"68.6%"
