"Comparison","Library","Estimator","Bias","Variance","MSE","Coverage"
"EnYd0 for E0Yd0","GLMs","Unadj.",3e-04,5e-04,5e-04,"93.3%"
"EnYd0 for E0Yd0","GLMs","G-comp.",-0.094,3e-04,0.0091,"-"
"EnYd0 for E0Yd0","GLMs","IPTW",9e-04,8e-04,8e-04,"95.3%"
"EnYd0 for E0Yd0","GLMs","IPTW-DR",1e-04,5e-04,5e-04,"93.7%"
"EnYd0 for E0Yd0","GLMs","TMLE",2e-04,5e-04,5e-04,"93.7%"
"EnYd0 for E0Yd0","GLMs","CV-TMLE",4e-04,5e-04,5e-04,"93.7%"
"EnYd0 for E0Yd0","ML + GLMs not aggressive","Unadj.",-7e-04,5e-04,5e-04,"94.7%"
"EnYd0 for E0Yd0","ML + GLMs not aggressive","G-comp.",-0.1298,6e-04,0.0175,"-"
"EnYd0 for E0Yd0","ML + GLMs not aggressive","IPTW",2e-04,8e-04,8e-04,"94.7%"
"EnYd0 for E0Yd0","ML + GLMs not aggressive","IPTW-DR",-9e-04,6e-04,6e-04,"94%"
"EnYd0 for E0Yd0","ML + GLMs not aggressive","TMLE",-0.0011,5e-04,5e-04,"93.6%"
"EnYd0 for E0Yd0","ML + GLMs not aggressive","CV-TMLE",-9e-04,5e-04,5e-04,"93.2%"
"EnYd0 for E0Yd0","ML + GLMs aggressive","Unadj.",-1e-04,5e-04,5e-04,"93.7%"
"EnYd0 for E0Yd0","ML + GLMs aggressive","G-comp.",-0.118,6e-04,0.0146,"-"
"EnYd0 for E0Yd0","ML + GLMs aggressive","IPTW",-6e-04,9e-04,9e-04,"94%"
"EnYd0 for E0Yd0","ML + GLMs aggressive","IPTW-DR",-0.0084,5e-04,6e-04,"90.1%"
"EnYd0 for E0Yd0","ML + GLMs aggressive","TMLE",-0.0075,5e-04,6e-04,"90.6%"
"EnYd0 for E0Yd0","ML + GLMs aggressive","CV-TMLE",-1e-04,5e-04,5e-04,"93.6%"
"EnYdn for E0Yd0","GLMs","Unadj.",-0.0562,7e-04,0.0038,"31.8%"
"EnYdn for E0Yd0","GLMs","G-comp.",-0.0773,4e-04,0.0064,"-"
"EnYdn for E0Yd0","GLMs","IPTW",-0.0558,8e-04,0.0039,"45%"
"EnYdn for E0Yd0","GLMs","IPTW-DR",-0.0565,6e-04,0.0038,"30.1%"
"EnYdn for E0Yd0","GLMs","TMLE",-0.0565,6e-04,0.0038,"29.8%"
"EnYdn for E0Yd0","GLMs","CV-TMLE",-0.0764,9e-04,0.0067,"14.7%"
