"Comparison","Library","Estimator","Bias","Variance","MSE","Coverage"
"EnYdn for E0Ydn","GLMs","G-comp.",-0.0033,4e-04,6e-04,"-"
"EnYdn for E0Ydn","GLMs","IPTW",0.0183,8e-04,9e-04,"94.3%"
"EnYdn for E0Ydn","GLMs","IPTW-DR",0.0175,6e-04,7e-04,"90.6%"
"EnYdn for E0Ydn","GLMs","TMLE",0.0175,6e-04,7e-04,"90.7%"
"EnYdn for E0Ydn","GLMs","CV-TMLE",-2e-04,9e-04,5e-04,"94.3%"
"EnYdn for E0Ydn","ML + GLMs not aggressive","G-comp.",-0.1027,7e-04,0.0114,"-"
"EnYdn for E0Ydn","ML + GLMs not aggressive","IPTW",0.0614,0.001,0.0046,"43.8%"
"EnYdn for E0Ydn","ML + GLMs not aggressive","IPTW-DR",0.0607,8e-04,0.0044,"28.9%"
"EnYdn for E0Ydn","ML + GLMs not aggressive","TMLE",0.0578,8e-04,0.004,"30.4%"
"EnYdn for E0Ydn","ML + GLMs not aggressive","CV-TMLE",2e-04,7e-04,5e-04,"94%"
"EnYdn for E0Ydn","ML + GLMs aggressive","G-comp.",-0.0846,7e-04,0.0081,"-"
"EnYdn for E0Ydn","ML + GLMs aggressive","IPTW",0.1551,0.0109,0.0366,"16.3%"
"EnYdn for E0Ydn","ML + GLMs aggressive","IPTW-DR",0.1325,0.0092,0.0283,"15.8%"
"EnYdn for E0Ydn","ML + GLMs aggressive","TMLE",0.1346,0.0108,0.0307,"15.7%"
"EnYdn for E0Ydn","ML + GLMs aggressive","CV-TMLE",1e-04,7e-04,5e-04,"94.8%"
