,,Conditions for Asymptotic Linearity,,,
Estimands,Estimators,$Q_n = Q_0$ or $Q_n \overset{p}{\to} Q_0$,$d^*_n \overset{p}{\to} d^*_0$,$Q_n$ smooth,$d_n$ smooth
$\Psi_{d^*_0}$ if $d_0^*$ known,IPTW,Not required,"N/A, $d_0^*$ known",Not required,"N/A, $d_0^*$ known"
,IPTW-DR,,,Required,
,TMLE,,,Required,
,CV-TMLE,,,Not required,
$\Psi_{d^*_0}$ if $d_0^*$ unknown,IPTW,Not required,Required,Not required,Required
,IPTW-DR,,,Required,
,TMLE,,,Required,
,CV-TMLE,,,Not required,Not required
$\Psi_{d^*_n}$,IPTW,Not required,Not required; require $d^*_n \overset{p}{\to} d \in \mathcal{D}$,Not required,Required
,IPTW-DR,,,Required,
,TMLE,,,Required,
"$\Psi_{d^*_{n,CV}}$",CV-TMLE,Not required,,Not required,Not required
