"","Study","Risk","SL","Bias","Variance","MSE","Coverage","CI_width"
"1","RCT","Psi","lambda",0.0522,0.0018,0.0045,60.9,0.064
"2","RCT","Psi","c",0.0524,0.0017,0.0045,60.2,0.0636
"3","RCT","Psi","dn",0.0521,0.0018,0.0045,61,0.0641
"4","RCT","CI","lambda",0.0533,0.0018,0.0046,59.7,0.0632
"5","RCT","CI","c",0.0539,0.0017,0.0046,58.2,0.0622
"6","RCT","CI","dn",0.0524,0.0018,0.0045,61.9,0.0641
"7","obs","Psi","lambda",0.0661,0.0024,0.0068,60.9,0.0785
"8","obs","Psi","c",0.0662,0.0024,0.0067,61,0.0787
"9","obs","Psi","dn",0.0657,0.0024,0.0067,61.6,0.0791
"10","obs","CI","lambda",0.0697,0.002,0.0069,48.1,0.0714
"11","obs","CI","c",0.0688,0.0022,0.0069,56.7,0.0759
"12","obs","CI","dn",0.0669,0.0023,0.0068,59.8,0.0781
