"","Study","Risk","SL","Bias","Variance","MSE","Coverage","CI_width"
"1","RCT","Psi","lambda",0.0122,0.001,0.0012,91.2409,0.0585
"2","RCT","Psi","c",0.0117,0.0011,0.0012,91.1,0.0585
"3","RCT","Psi","dn",0.0122,0.001,0.0012,91.2409,0.0585
"4","RCT","CI","lambda",0.0125,0.001,0.0012,91.1366,0.0585
"5","RCT","CI","c",0.0121,0.0011,0.0012,91.1,0.0585
"6","RCT","CI","dn",0.0125,0.001,0.0012,91.1366,0.0585
"7","obs","Psi","lambda",0.019,0.002,0.0023,85.9081,0.0742
"8","obs","Psi","c",0.0192,0.002,0.0023,85.9081,0.0741
"9","obs","Psi","dn",0.019,0.002,0.0023,85.9081,0.0741
"10","obs","CI","lambda",0.0215,0.0021,0.0025,84.7599,0.0739
"11","obs","CI","c",0.0217,0.0021,0.0025,85.0731,0.0738
"12","obs","CI","dn",0.0214,0.0021,0.0025,84.8643,0.0739
