"","Study","Risk","SL","Bias","Variance","MSE","Coverage","CI_width"
"1","RCT","Psi","lambda",2e-04,0.0014,0.0014,89.8,0.0611
"2","RCT","Psi","c",4e-04,0.0014,0.0014,90.3,0.0609
"3","RCT","Psi","dn",3e-04,0.0014,0.0014,89.6,0.0616
"4","RCT","CI","lambda",4e-04,0.0013,0.0013,90.2,0.0584
"5","RCT","CI","c",5e-04,0.0013,0.0013,90.6,0.0584
"6","RCT","CI","dn",4e-04,0.0014,0.0014,89,0.0616
"7","obs","Psi","lambda",3e-04,0.002,0.002,90.4,0.0767
"8","obs","Psi","c",1e-04,0.0021,0.0021,90.9,0.0773
"9","obs","Psi","dn",4e-04,0.0021,0.0021,90.9,0.0782
"10","obs","CI","lambda",6e-04,0.0015,0.0015,92.1,0.0664
"11","obs","CI","c",5e-04,0.0018,0.0018,92.6,0.0738
"12","obs","CI","dn",4e-04,0.002,0.002,92.2,0.0773
