"","Study","Risk","SL","Bias","Variance","MSE","Coverage","CI_width"
"1","RCT","Psi","lambda",0.0209,0.0015,0.0019,82.2,0.061
"2","RCT","Psi","c",0.021,0.0015,0.0019,82.1,0.0609
"3","RCT","Psi","dn",0.0208,0.0015,0.0019,82.3,0.0611
"4","RCT","CI","lambda",0.0221,0.0015,0.002,80.8,0.0602
"5","RCT","CI","c",0.0221,0.0015,0.002,80.2,0.0599
"6","RCT","CI","dn",0.0207,0.0014,0.0019,83.2,0.0611
"7","obs","Psi","lambda",0.0226,0.0024,0.003,83,0.0765
"8","obs","Psi","c",0.0224,0.0024,0.0029,83.6,0.0763
"9","obs","Psi","dn",0.0222,0.0024,0.0029,83.8,0.0767
"10","obs","CI","lambda",0.0278,0.0024,0.0032,78.2,0.0732
"11","obs","CI","c",0.0267,0.0023,0.003,79.3,0.0739
"12","obs","CI","dn",0.025,0.0024,0.003,81.9,0.0758
