"N","General Library","Specific Library","General Metalearner","Metalearner","Risk","Avg. Regret","Var. Relative to GLM","% Match"
1000,"Blip only","GLM","N/A","N/A","N/A","-0.0734","1.0000","56.7"
1000,"Blip only","Parametric blip models","Discrete","Discrete","CV MSE","-0.0722","2.0068","56.6"
1000,"Blip only","Parametric blip models","Discrete","Discrete","CV TMLE","-0.0688","1.7817","58.1"
1000,"Blip only","Parametric blip models","Continuous","Blip-based","CV MSE","-0.0731","1.9488","56.6"
1000,"Blip only","Parametric blip models","Continuous","Blip-based","CV TMLE","-0.0701","1.8110","58.1"
1000,"Blip only","Parametric blip models","Continuous","Vote-based","CV TMLE","-0.0695","1.7064","58.1"
1000,"Blip only","ML blip models","Discrete","Discrete","CV MSE","-0.0259","0.8432","75.9"
1000,"Blip only","ML blip models","Discrete","Discrete","CV TMLE","-0.0232","0.5699","77.4"
1000,"Blip only","ML blip models","Continuous","Blip-based","CV MSE","-0.0186","0.3682","79.7"
1000,"Blip only","ML blip models","Continuous","Blip-based","CV TMLE","-0.0195","0.3847","79.2"
1000,"Blip only","ML blip models","Continuous","Vote-based","CV TMLE","-0.0212","0.4717","78.4"
1000,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV MSE","-0.0258","0.7930","75.9"
1000,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV TMLE","-0.0234","0.5827","77.3"
1000,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV MSE","-0.0197","0.4201","79.3"
1000,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV TMLE","-0.0218","0.4882","78.3"
1000,"Blip only","Parametric + ML blip models","Continuous","Vote-based","CV TMLE","-0.0238","0.5534","77.3"
1000,"Full","ML blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0232","0.5699","77.4"
1000,"Full","ML blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0220","0.5629","78.4"
1000,"Full","All blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0234","0.5827","77.3"
1000,"Full","All blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0236","0.6088","77.5"
300,"Blip only","GLM","N/A","N/A","N/A","-0.0811","1.0000","54.7"
300,"Blip only","Parametric blip models","Discrete","Discrete","CV MSE","-0.0818","1.7942","54.2"
300,"Blip only","Parametric blip models","Discrete","Discrete","CV TMLE","-0.0781","1.5604","55.7"
300,"Blip only","Parametric blip models","Continuous","Blip-based","CV MSE","-0.0815","1.7583","54.3"
300,"Blip only","Parametric blip models","Continuous","Blip-based","CV TMLE","-0.0793","1.6530","55.3"
300,"Blip only","Parametric blip models","Continuous","Vote-based","CV TMLE","-0.0788","1.6791","55.4"
300,"Blip only","ML blip models","Discrete","Discrete","CV MSE","-0.0511","2.2906","66.0"
300,"Blip only","ML blip models","Discrete","Discrete","CV TMLE","-0.0439","1.2939","68.5"
300,"Blip only","ML blip models","Continuous","Blip-based","CV MSE","-0.0425","1.4085","68.9"
300,"Blip only","ML blip models","Continuous","Blip-based","CV TMLE","-0.0406","1.0968","69.7"
300,"Blip only","ML blip models","Continuous","Vote-based","CV TMLE","-0.0422","1.1677","69.0"
300,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV MSE","-0.0521","2.2940","65.5"
300,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV TMLE","-0.0458","1.4045","67.7"
300,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV MSE","-0.0444","1.3330","68.1"
300,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV TMLE","-0.0435","1.0847","68.4"
300,"Blip only","Parametric + ML blip models","Continuous","Vote-based","CV TMLE","-0.0460","1.2383","67.6"
300,"Full","ML blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0439","1.2939","68.5"
300,"Full","ML blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0453","1.4179","68.3"
300,"Full","All blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0458","1.4045","67.7"
300,"Full","All blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0450","1.3577","67.6"
