"N","General Library","Specific Library","General Metalearner","Metalearner","Risk","Avg. Regret","Var. Relative to GLM","% Match"
1000,"Blip only","GLM","N/A","N/A","N/A","-0.0098","1.0000","84.5"
1000,"Blip only","Parametric blip models","Discrete","Discrete","CV MSE","-0.0039","1.0267","90.7"
1000,"Blip only","Parametric blip models","Discrete","Discrete","CV TMLE","-0.0045","1.3174","90.2"
1000,"Blip only","Parametric blip models","Continuous","Blip-based","CV MSE","-0.0057","1.1855","89.0"
1000,"Blip only","Parametric blip models","Continuous","Blip-based","CV TMLE","-0.0085","1.5630","86.0"
1000,"Blip only","Parametric blip models","Continuous","Vote-based","CV TMLE","-0.0055","1.3902","89.5"
1000,"Blip only","ML blip models","Discrete","Discrete","CV MSE","-0.0129","1.9508","82.3"
1000,"Blip only","ML blip models","Discrete","Discrete","CV TMLE","-0.0121","1.7321","83.0"
1000,"Blip only","ML blip models","Continuous","Blip-based","CV MSE","-0.0106","1.3294","84.2"
1000,"Blip only","ML blip models","Continuous","Blip-based","CV TMLE","-0.0099","1.1477","84.9"
1000,"Blip only","ML blip models","Continuous","Vote-based","CV TMLE","-0.0102","1.1776","84.5"
1000,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV MSE","-0.0063","1.1875","88.8"
1000,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV TMLE","-0.0087","1.4343","86.7"
1000,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV MSE","-0.0077","1.2204","86.8"
1000,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV TMLE","-0.0091","1.3069","85.4"
1000,"Blip only","Parametric + ML blip models","Continuous","Vote-based","CV TMLE","-0.0094","1.4221","85.2"
1000,"Full","ML blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0114","1.6804","84.1"
1000,"Full","ML blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0107","1.3875","84.4"
1000,"Full","All blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0074","1.4027","88.1"
1000,"Full","All blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0082","1.2160","86.7"
300,"Blip only","GLM","N/A","N/A","N/A","-0.0222","1.0000","75.0"
300,"Blip only","Parametric blip models","Discrete","Discrete","CV MSE","-0.0188","1.8019","78.0"
300,"Blip only","Parametric blip models","Discrete","Discrete","CV TMLE","-0.0232","2.0950","74.5"
300,"Blip only","Parametric blip models","Continuous","Blip-based","CV MSE","-0.0186","1.6102","76.7"
300,"Blip only","Parametric blip models","Continuous","Blip-based","CV TMLE","-0.0229","1.8938","73.0"
300,"Blip only","Parametric blip models","Continuous","Vote-based","CV TMLE","-0.0215","2.1003","74.6"
300,"Blip only","ML blip models","Discrete","Discrete","CV MSE","-0.0369","1.6533","61.7"
300,"Blip only","ML blip models","Discrete","Discrete","CV TMLE","-0.0309","1.4898","66.8"
300,"Blip only","ML blip models","Continuous","Blip-based","CV MSE","-0.0317","1.4242","66.4"
300,"Blip only","ML blip models","Continuous","Blip-based","CV TMLE","-0.0284","1.2123","69.2"
300,"Blip only","ML blip models","Continuous","Vote-based","CV TMLE","-0.0289","1.2973","68.7"
300,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV MSE","-0.0205","1.8830","75.5"
300,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV TMLE","-0.0252","1.7460","71.7"
300,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV MSE","-0.0234","1.5428","73.4"
300,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV TMLE","-0.0257","1.3637","71.5"
300,"Blip only","Parametric + ML blip models","Continuous","Vote-based","CV TMLE","-0.0260","1.4567","71.3"
300,"Full","ML blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0300","1.5305","67.3"
300,"Full","ML blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0284","1.4512","68.7"
300,"Full","All blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0218","1.7749","74.6"
300,"Full","All blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0226","1.5302","73.5"
