"","MSE","TMLE","TMLE1","TMLE2"
"blip_SL.glm",0.081924650189946,0.0887140397577361,0.0378687184034384,0.0859879533246845
"blip_SL.mean",0.287120928287083,0.132838488315792,0.0477512821106578,0.0922151253923648
"blip_SL.glm.interaction",0.153273019193262,0.131307801025459,0.0691685981092907,0.128442637845424
"blip_SL.earth",0.165763702159373,0.233687698827368,0.156193426749318,0.215045340580268
"blip_SL.nnet",0.139692896640281,0.110702020697999,0.0583883092822771,0.125932983360966
"blip_SL.svm",0.0908310677241609,0.173618790844387,0.139219343462295,0.208995546363078
"blip_SL.rpart",0.0813937358058942,0.129131160531258,0.069169322493044,0.143380413133215
"Qlearn",NA,NA,0.0558802314262746,NA
"OWL",NA,NA,0.0490716061222262,NA
"EARL",NA,NA,0.0507984715244085,NA
"optclass",NA,NA,0.081902457203104,NA
"RWL",NA,NA,0.0406806901653903,NA
"Treat all",NA,NA,0.0481410075890926,NA
"Treat none",NA,NA,0.0957665353591828,NA
